donor_id,roi,batch,source_path
6461,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM041_Xenium_nPODBatch7_ReRun/output-XETG00298__0059847__pLN__20250417__164439
6476,pln_1,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM038_Xenium_nPodBatch4/output-XETG00298__0037634__6476_pLN__20241121__213623
6482,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM043_Xenium_nPODBatch9/output-XETG00298__0037354__pLN__20250307__145542
6493,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM042_Xenium_nPODBatch8/output-XETG00298__0037191__pLN__20250221__194233 
6505,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM046_Xenium_nPODBatch12/output-XETG00298__0080836__6505_pLN__20251030__175544
6521,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM042_Xenium_nPODBatch8/output-XETG00298__0037199__pLN__20250221__194233
6523,pln_1,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM039_Xenium_nPODBatch5/output-XETG00298__0037499__6523_pLN__20241127__193857
6533,pln_1,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM036_Xenium_nPODBatch2/output-XETG00298__0041393__pLN__20241019__205207
6534,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM047_Xenium_nPODBatch13/output-XETG00298__0081203__6534_pLN1__20251114__201921
6539,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM044_Xenium_nPODBatch10/output-XETG00298__0059865__pLN__20250328__202338
6551,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM043_Xenium_nPODBatch9/output-XETG00298__0037376__pLN__20250307__145542
6566,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM041_Xenium_nPODBatch7_ReRun/output-XETG00298__0059968__pLN__20250417__164439
6579,pln_1,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM040_Xenium_nPODBatch6/output-XETG00298__0041035__pLN1__20241219__201934
6580,pln_1,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM037_Xenium_nPODBatch3/output-XETG00298__0041139__pLN__20241025__204655
6591,pln_1,6KTRAF,NA
6593,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM045_Xenium_nPODBatch11/output-XETG00298__0059945__pLN__20250401__152313
6623,pln_1,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM047_Xenium_nPODBatch13/output-XETG00298__0081215__6623_pLN__20251114__201921
6457,pln_2,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM038_Xenium_nPodBatch4/output-XETG00298__0037637__6457_pLN2__20241121__213623
6579,pln_2,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM040_Xenium_nPODBatch6/output-XETG00298__0041035__pLN2__20241219__201934
6534,pln_2,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM047_Xenium_nPODBatch13/output-XETG00298__0081203__6534_pLN2__20251114__201921
6579,pln_3,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM040_Xenium_nPODBatch6/output-XETG00298__0041035__pLN3__20241219__201934
